Search Term,Total Unique Searches,% Search Exits,Avg. Search Depth
STORIES ON DOCTOR,9,55.56%,2.67
stories on friendship,9,0.00%,3.67
Story for 6 yr old,9,0.00%,1.44
story of letter a,9,33.33%,4.78
story of letter B,9,11.11%,2.67
Story of letter B,9,11.11%,1.56
story on animals,9,11.11%,4.33
story on food,9,0.00%,2.11
Story on water,9,22.22%,7.89
studying,9,0.00%,1.56
Sudha,9,33.33%,1
Sudipta Sengupta,9,0.00%,1.67
Sumi budhi and sugi,9,0.00%,3.11
sunahari chidiya,9,22.22%,2.33
Sunahari chidiya,9,22.22%,1.89
Sunahri chidiya,9,44.44%,1.22
sunbird,9,0.00%,2.22
Sunday,9,11.11%,3.33
sunheri chidiya,9,22.22%,0.78
superman,9,0.00%,1
Suraj and sher singh,9,11.11%,2.67
surprise,9,0.00%,2.33
Susheela ke kolam,9,11.11%,3.56
Swedish,9,11.11%,5.44
sweet apple,9,0.00%,1.11
swim,9,11.11%,2.33
Swim,9,0.00%,4.44
t rex,9,11.11%,0.67
Tall short,9,11.11%,2.11
Tamil readalong,9,11.11%,7.22
tamil stories level 1,9,0.00%,2.67
television,9,0.00%,1.22
tell me now good for you,9,22.22%,0.78
Tell me now series,9,22.22%,11.33
thambu's kite,9,22.22%,1.33
Thanks Corona,9,11.11%,1.78
the annual haircut,9,11.11%,2.22
The ant and the grasshopper,9,11.11%,2.33
The best foot forward,9,0.00%,1.78
The Best House Of All,9,0.00%,2.44
The best place to nap,9,33.33%,5.56
The Blue Umbrella,9,11.11%,1.22
The blue umbrella by Ruskin bond,9,11.11%,2.44
the boat ride,9,0.00%,0.78
the boy who collected words,9,44.44%,1.89
the boy who hated vegetables,9,0.00%,1.78
the brave monkey,9,0.00%,1.56
The brave twins,9,33.33%,1
The Case of the,9,44.44%,1
The cat,9,22.22%,1.11
The Clever Tortoise,9,22.22%,0.67
The colorful rainbow,9,0.00%,6.78
The dance of the flamingo,9,0.00%,1.44
the dot,9,66.67%,0.22
The drawing,9,44.44%,2
the elephant and the bee,9,0.00%,1.78
The elephant in the room,9,0.00%,2
the exam curse,9,22.22%,2.22
the fairy of the pond,9,11.11%,3.22
The fat king and thin dog,9,0.00%,3.67
The first day of school,9,11.11%,2.89
the food chain,9,0.00%,1.11
the frog prince,9,11.11%,1.78
The garden,9,0.00%,3.56
The girl how could not stop laughing,9,0.00%,3.78
the girl who can't stop laughing,9,11.11%,0.89
the girl who cannot stop laughing,9,11.11%,2
The Great Tidy Up,9,11.11%,3.22
The hat seller,9,0.00%,0.89
The hundred and thirty seventh leg,9,11.11%,1.44
The Hundred and Thirty-Seventh Leg,9,0.00%,3.33
The hungry sea,9,55.56%,0.67
The king's crown,9,22.22%,3.11
The laughing girl,9,11.11%,3.89
the little bird in the big mountain,9,0.00%,1.33
The little bird in the big mountain,9,0.00%,2.89
the magic flower gift,9,22.22%,3.89
the magical unicorn,9,0.00%,5.56
The maldhok in the desert,9,22.22%,11.33
the man in the moon,9,0.00%,3
The market place,9,22.22%,3.44
the monkey and the crocodile,9,22.22%,3.33
the mundu magicians,9,0.00%,1.44
the name jar,9,33.33%,2.33
The never ending pot of gold,9,22.22%,3.56
The new,9,11.11%,2.44
the night,9,0.00%,1.78
The obedient dog,9,0.00%,1.89
The Ocean Dream,9,0.00%,2
the one and only ivan,9,33.33%,1.22
The post,9,44.44%,0.44
The power of ten,9,22.22%,1.33
the proud rose,9,44.44%,2
The Rabbit's Long Ears,9,0.00%,3.44
the really bad smell,9,11.11%,3.33
The Red raincoat,9,0.00%,1.78
The red raincot,9,11.11%,1.56
the roti roll,9,0.00%,1.11
The Seventh Sun,9,0.00%,5.33
The snails wonderful journey,9,22.22%,1.11
the sun and the wind,9,0.00%,1.89
The Tiffin gang,9,33.33%,1.89
the tiger and the villagers,9,11.11%,1.33
The time travelling river,9,11.11%,1.56
the tortoise and the hare,9,11.11%,3.78
The unseen adventure,9,11.11%,8.67
the useless cat,9,11.11%,2.11
the wind and the sun,9,11.11%,3.67
Thilagavathi stories,9,11.11%,1
Thipthida Goes to School,9,0.00%,3.89
This is my home,9,0.00%,1.67
thriller,9,11.11%,1.78
Tibetan story,9,22.22%,4
Tiger story,9,0.00%,1.89
time travel,9,11.11%,0.89
time traveling river,9,0.00%,2.22
Time travelling river,9,11.11%,2.11
tin bandar,9,33.33%,3.44
tingtong,9,11.11%,3.67
Titli,9,0.00%,1.89
to many banana,9,11.11%,1.11
toffee,9,11.11%,2.44
tolerance,9,44.44%,4.56
Tom Gates,9,11.11%,2
Tomato,9,33.33%,4
Tommy,9,11.11%,4.11
too many,9,11.11%,3.33
Too many,9,11.11%,4.56
too many banans,9,33.33%,0.56
Tooth fairy,9,11.11%,3.44
Toothless Charu,9,55.56%,0.78
tradition,9,11.11%,2.44
Traffic Sense,9,0.00%,1.11
TRAIN,9,0.00%,1.44
Train journey,9,33.33%,2.56
travelling,9,11.11%,4
treasure hunt,9,0.00%,3.89
tree story,9,0.00%,2.44
Tumi Goes to the Park,9,0.00%,1.44
two headed,9,0.00%,5.67
umbrella for druvi,9,22.22%,1.56
uncle,9,0.00%,6.56
Unity,9,22.22%,3.11
unni wish,9,11.11%,1.11
Up and down,9,33.33%,1.89
urdu books,9,33.33%,5.22
urdu) (لنک,9,66.67%,0.67
urduhttps://storyweaver.org.in/search?query=urdu,9,77.78%,0.56
Values,9,33.33%,1.22
Vasundhara,9,55.56%,1.22
Veena prasad,9,66.67%,1.67
Veer,9,44.44%,0.89
Vegetables came to school,9,11.11%,1.78
Vegetables marching,9,11.11%,3.78
Vehicle,9,11.11%,5.22
vehicles story,9,77.78%,0.11
vet,9,22.22%,1.44
Wailers Three - A Folktale From China,9,0.00%,2.89
walk,9,11.11%,1.56
Warli,9,11.11%,2.67
Wasp,9,44.44%,1.22
Watch out the tiger,9,11.11%,1.22
Watch out! The tiger is here,9,11.11%,2.11
water stories,9,11.11%,1.67
watermelon,9,22.22%,1.22
we all are animals,9,0.00%,1.67
We are animals,9,22.22%,2.89
We are going birding today,9,44.44%,1.11
We went to the market,9,11.11%,2.67
welcome,9,11.11%,1.78
Welcome To The Forest,9,22.22%,0.78
Welcome to the jungle,9,33.33%,1.22
what anu sees,9,11.11%,2.11
WHAT IF,9,11.11%,3.33
What shall I wear,9,11.11%,4.44
What's in the pot,9,22.22%,3.44
What's Neema eating,9,0.00%,4.11
what's Neema eating today,9,11.11%,5.67
what's neema eating today?,9,22.22%,0.67
What's the sound,9,22.22%,2.56
When Amma Went to School,9,0.00%,3
WHEN I GROW UP,9,11.11%,1.56
"When I Grow Up, I'll Have a House",9,0.00%,2.78
"When I Grow Up, I’ll Have a House",9,0.00%,2
WHEN WILL AMMA BE BACK,9,0.00%,3.22
when will amma come back,9,11.11%,1.22
Where do they go,9,0.00%,1.11
Where is Lulu,9,0.00%,2.33
Where Is My Bat?,9,11.11%,1
whistling good idea,9,0.00%,2.89
Who is Faster?,9,0.00%,3.33
who is the next ruler,9,0.00%,2.11
who is your friend,9,33.33%,1.33
Who stole bhaiya's smile?,9,0.00%,5.33
Who's That in the Mirror?,9,11.11%,1.11
Whoop,9,0.00%,1.78
why are giraffes tall,9,22.22%,0.33
Wild,9,0.00%,1.11
wisdom,9,11.11%,2.44
wish,9,22.22%,4.78
Wish,9,22.22%,2.78
wizard,9,0.00%,2.11
World of Music,9,0.00%,2
Xay,9,0.00%,1.56
You cant find me,9,0.00%,2.44
Young and old,9,0.00%,2
Your body,9,55.56%,0
Z,9,55.56%,0.22
zanele sees numbers,9,11.11%,8.67
Zena on the bus,9,22.22%,0.67
zopalu bheema,9,22.22%,1.78
Zoya,9,22.22%,2.44
zoya and her fears,9,11.11%,1.56
अवखळ डुकरू,9,22.22%,3
आम का पेड़,9,11.11%,0.89
आम का पेड़,9,33.33%,1.44
कहानी केलों की,9,0.00%,2.78
तोता,9,11.11%,3.33
नयी लड़की,9,0.00%,3.89
परेशान पहिया,9,22.22%,1.78
बंटी और बबली,9,0.00%,16.56
शेर का हौदा,9,11.11%,3.78
समुद्रबुडी,9,22.22%,3.89
हर दिन एक कहानी,9,22.22%,1.44
என் நண்பர்கள்,9,0.00%,9.67
மழை,9,0.00%,7.22
మోరుని నమ్ముకోవచ్చు,9,100.00%,0
"“Descends de là, Rocky!”",8,25.00%,1.62
Err:509,8,75.00%,0.88
2nd level story,8,50.00%,0.38
3 for free,8,0.00%,1.38
A big cake,8,0.00%,4.88
a big day for the little wheels,8,12.50%,0.75
a book for puchuku,8,12.50%,2.62
A cloud of thrash,8,0.00%,1.38
A Dancer's Tale,8,12.50%,3.12
a fish and a gift,8,12.50%,0.88
A House for Mouse,8,12.50%,0.88
a kind boy,8,0.00%,1.62
A little monkey and a fish,8,0.00%,2.38
A little monkey and fish,8,25.00%,1.88
A lovely home,8,25.00%,2
a man called bapu,8,12.50%,0.62
a mouse in the house,8,37.50%,1.75
a new girl,8,37.50%,0.88
a pebble in my shoe,8,0.00%,0.5
A rabbit becomes a chef,8,12.50%,2.88
A rainy day,8,12.50%,3.25
A Stitch in Time,8,0.00%,2
A street or zoo,8,0.00%,3.75
A Tiny Seed,8,0.00%,2
a vary tall man,8,12.50%,1.25
aaloo maaloo,8,0.00%,1.88
Aalshi mama,8,25.00%,5.88
aamchi,8,0.00%,5.38
aanvis rangoli,8,37.50%,2.12
Aarav,8,0.00%,1.38
Abebe,8,0.00%,2.88
Abebe and the English boys,8,12.50%,2.88
abhi krish,8,0.00%,3
Abhi nahi,8,25.00%,1.12
abhi nahi abhi nahi,8,12.50%,0.88
abhinav,8,0.00%,4.62
Abi,8,50.00%,2.38
About me,8,0.00%,2.5
ACHOO,8,12.50%,1.88
adikahani,8,62.50%,2.38
adoption,8,25.00%,5.25
ahilya,8,12.50%,2
Ahilyabai,8,12.50%,2.62
Aiman,8,0.00%,2
ajja,8,0.00%,0.75
akara,8,12.50%,1.25
akoro banana business,8,50.00%,0.88
aku and her ice cream,8,12.50%,1.12
ali,8,0.00%,2.62
All,8,0.00%,1.12
all abord,8,0.00%,0.62
All about butterflies,8,37.50%,1
aloo maaloo kaaloo,8,50.00%,0.62
alphabet book,8,0.00%,1.5
amachis amazing machines,8,12.50%,1.88
amigos,8,0.00%,1.75
Amma ghee,8,0.00%,5
amma ji ki mashine,8,75.00%,1
Ammachi tomato chatni,8,25.00%,1.25
AMMACHI'S AMAZING MACHINES,8,25.00%,0.75
Ammachi's glasses,8,12.50%,2.38
ammachi's incredible,8,0.00%,1.12
ammachis glasses,8,0.00%,1.5
ammachis investigation,8,25.00%,1.12
ammachis machines,8,50.00%,0.75
ammu puppy,8,25.00%,2.25
amphibians,8,25.00%,0.75
amy's web of lies,8,25.00%,0.62
An adventure with a water-snake,8,25.00%,4.5
An Amazing World,8,12.50%,0.75
an egg for bride wealth,8,50.00%,0.38
anad,8,25.00%,2.75
Anaya,8,12.50%,2.62
Anayas thumb,8,12.50%,3.5
ande ka fanda,8,12.50%,3.62
ang antuking si bing,8,0.00%,0.88
Ang antuking si bing,8,0.00%,0.75
Ang Gahamang Bubwit,8,0.00%,2.12
ang pulang kapote ni joey,8,25.00%,0.75
animal babies,8,12.50%,0.5
Animal race,8,0.00%,1.88
animal run away,8,12.50%,2.5
animals also have hobbies,8,0.00%,0.62
ANNUAL HAIRCUT,8,0.00%,3.12
annul haircut day,8,12.50%,3.88
Ant and grasshopper,8,12.50%,4.25
Anushka ravishankar,8,37.50%,0.25
app,8,25.00%,1.5
Aquatic animals,8,12.50%,2.62
Arabe,8,12.50%,1.75
arabian nights,8,25.00%,0.88
Are You a Fish?,8,12.50%,2.5
Arnav Sethna,8,75.00%,1
around the world with a chili,8,12.50%,3.38
aru,8,25.00%,0.88
Aru,8,25.00%,3.75
Arya in cockpit,8,0.00%,1.75
asamo is that you,8,0.00%,2.62
Ascending order,8,37.50%,2
ashok,8,0.00%,3
Aur wo has diya,8,100.00%,0.12
australia,8,0.00%,2.75
Australia,8,50.00%,1
awful lunch,8,0.00%,4.5
Azizi the doll,8,12.50%,2
Baarish,8,0.00%,1.38
Baby gets a name,8,50.00%,1.75
backward counting,8,25.00%,1.12
Bahasa Indonesia,8,25.00%,2.5
bahut badi bahut choti,8,25.00%,1.62
Bahut badi bahut choti,8,25.00%,0.88
Banana story,8,12.50%,4.12
bandicoota,8,12.50%,1.62
bandicota,8,25.00%,1.5
Bangal,8,0.00%,3.25
banyan tree,8,12.50%,11
barber,8,0.00%,4
Barber at the zoo,8,37.50%,0.25
Bathtime for chunnu and munnu,8,50.00%,1.38
Be safe,8,25.00%,1.5
bed,8,0.00%,5.38
before and after,8,37.50%,1.5
behind a lie,8,25.00%,1.75
Best,8,0.00%,4.88
BEST FOOT FORWARD,8,12.50%,1
best stories,8,25.00%,2.12
Better,8,75.00%,0.62
bfg,8,37.50%,0.75
bhaiya aur mai,8,0.00%,1
Bheema The Sleepyhead,8,25.00%,0.5
Bhoot story,8,12.50%,1.62
bhoots,8,0.00%,3.62
Big blue bus,8,0.00%,1.38
Big cake,8,25.00%,2
Big family,8,0.00%,1.5
Bike,8,12.50%,2.12
Bird nest,8,0.00%,6.12
biriyani,8,0.00%,1.75
Black Ant,8,12.50%,0.38
Black hats white hats,8,0.00%,5.5
block printing,8,25.00%,0.88
blue sky,8,50.00%,4.5
boat story,8,0.00%,2.12
Bobo and the Worms,8,0.00%,3.38
bomakka,8,12.50%,1.88
Bon and Butter,8,0.00%,1.12
books for toddlers,8,37.50%,4.38
"Books in english""level 3",8,0.00%,3.12
books on colours in hindi,8,0.00%,2.12
Bounthy's singing birds,8,37.50%,2.12
Bow,8,0.00%,2.5
Box,8,0.00%,0.88
box of things,8,12.50%,0.75
Boys,8,0.00%,0.88
Brahmaputra Diary,8,0.00%,2.75
bread,8,0.00%,0.75
Brother sister,8,25.00%,3.25
brown,8,12.50%,1.75
Bruno,8,25.00%,2.62
Brushing Fun,8,12.50%,1.25
Brushing is no fun!,8,12.50%,1
Bsnnh92212111iiieidjdjjdjii,8,100.00%,0
Bubbly,8,0.00%,1.62
Buddy and i,8,12.50%,1.75
buildings,8,12.50%,1.25
Bunti aur babli,8,37.50%,1
Bunty and bubble,8,12.50%,5.5
Bunty And Bubbly,8,25.00%,1.12
BUTTERFLY,8,12.50%,2.38
C’est la faute du chat,8,0.00%,2.62
camel for kelam,8,12.50%,1
Can't dance,8,0.00%,4.25
Captain underpants,8,12.50%,8.12
CAR,8,12.50%,2.62
Cassava and Palm,8,0.00%,6.88
Cat fault,8,0.00%,2.62
catch the wind,8,25.00%,0.75
CATERPILLAR,8,25.00%,2.25
caterpillar story,8,0.00%,3.88
celebrate,8,12.50%,2.62
chacha chaudhary,8,25.00%,1
Chakiri,8,37.50%,1.5
Chaku's Cycle,8,0.00%,0.75
chalak aaloo,8,37.50%,1
Chameleon,8,25.00%,1.38
Chapter books,8,12.50%,2
charlie,8,12.50%,2
chava,8,37.50%,0.38
Cheenu's Gift,8,12.50%,1.38
cheep cheep drip drip,8,0.00%,6.25
CHEW CHOMP YUM! All that is good for your tum!,8,12.50%,1.75
Chhuk chhuk,8,25.00%,2.88
chhuk chhuk chhak,8,12.50%,2.25
Chicken licken,8,37.50%,0.75
chicks,8,25.00%,2
Chidiya,8,0.00%,1.88
china town,8,12.50%,1.12
Chinnu,8,0.00%,2.25
choo choo chuk,8,0.00%,3
chuk,8,0.00%,1.5
Chuk,8,0.00%,2.12
Chuk chuk chak,8,0.00%,5.12
Chuk chuk chuk,8,25.00%,3.88
chulbuls tail,8,12.50%,5.38
Chunu and Munu,8,12.50%,13
chunu and munu read,8,0.00%,3.38
Chunu and munu read,8,12.50%,2
Cicada's song,8,0.00%,3
Clean up,8,25.00%,2.88
Clever Cat,8,0.00%,8.88
Clever tailor,8,50.00%,0.88
coccinelle,8,25.00%,1.88
cockpit,8,0.00%,1
Coconut beetle,8,12.50%,2.25
Coconut burfi,8,0.00%,4.62
coding,8,0.00%,1.25
colors of the nature,8,0.00%,1.12
COLOURS ON THE STREET,8,12.50%,1
Colours story,8,0.00%,3.5
"Come Back, Cat!",8,12.50%,23.62
comedy story,8,0.00%,4.12
Comedy story,8,12.50%,2
comme un poisson dans l'eau,8,37.50%,2.75
Conan unicorn,8,0.00%,12.62
cone cat cube cat,8,0.00%,2.5
cookie,8,0.00%,2.38
corona story,8,37.50%,2.75
corona virus stories,8,50.00%,2.88
count the legs,8,12.50%,3.25
count the shapes,8,12.50%,0.88
COUNTING,8,12.50%,3.12
counting story,8,62.50%,1.25
COVID-19,8,12.50%,5.38
cow story,8,12.50%,1.88
Craciun,8,100.00%,0
craft work,8,62.50%,0.75
Creature with two,8,0.00%,1.62
crushed louse,8,25.00%,0.62
cuantos,8,62.50%,0.62
Cube Cat Cone Cat,8,12.50%,1.5
Curly and Straight,8,0.00%,1.38
daily routines,8,12.50%,2.62
Dairy of a wimpy kid,8,12.50%,0.75
Dark,8,25.00%,1.25
dasara,8,0.00%,3.12
dasgupta,8,25.00%,3.5
Dashboard,8,0.00%,3.25
dashu,8,12.50%,5.62
days,8,0.00%,5.75
Days,8,12.50%,1.38
Days of week,8,25.00%,2.12
death,8,37.50%,0.25
decimals,8,50.00%,0.62
Deepa Karmakar,8,0.00%,2.38
Deepalakshmi,8,50.00%,1.75
"Descends de là, Rocky!",8,12.50%,3
Devil's scarf,8,50.00%,0.5
Dhruvi,8,0.00%,2.75
diary,8,12.50%,4.25
Did u hear,8,0.00%,1
didi aur main,8,0.00%,1.5
digestion,8,37.50%,2
Digestive system,8,62.50%,0.5
Dinasour,8,37.50%,1.75
dinosaur pets,8,0.00%,4.25
dinosaur story,8,25.00%,4.12
dinosaurus,8,0.00%,3.88
disney,8,25.00%,0.62
disney princess,8,12.50%,1.88
Diya,8,50.00%,3.25
Doctor donut,8,12.50%,0.88
DOG,8,37.50%,3.75
domestic violence,8,25.00%,2.75
Dosa,8,37.50%,0.5
dosti,8,50.00%,1.62
Download,8,12.50%,5.25
DRAFTS,8,25.00%,5.12
drawing my cat,8,0.00%,0.88
drums,8,0.00%,3.38
Duck and goose,8,75.00%,0.5
duduk,8,50.00%,1
dum,8,0.00%,1.88
dum biryani,8,25.00%,1.62
durga pooja,8,12.50%,0.5
Earth stories,8,12.50%,4.88
earthquakes,8,25.00%,0.88
Eat,8,0.00%,3.25
eclipse,8,25.00%,4.38
Eight legged creatures,8,25.00%,0.88
Ek kitab puchku ke liye,8,37.50%,2.88
Ekki dokki,8,12.50%,2.88
Eli eli,8,0.00%,2.5
elycia,8,25.00%,5.38
Emotion,8,25.00%,2.25
Emotions Come and Go,8,12.50%,2.62
Endangered animals,8,12.50%,2.88
endangered species,8,37.50%,2.38
engineer,8,0.00%,3.75
English level3,8,12.50%,3.25
English stories for grade 3,8,12.50%,1.25
english stories level 1,8,0.00%,5.12
english storys,8,0.00%,1.75
English to hindi,8,0.00%,3.75
English to tamil,8,37.50%,1.38
espace,8,0.00%,2.25
Everything is new,8,25.00%,2.38
evil,8,12.50%,2.38
Evil,8,12.50%,2.25
Evs,8,12.50%,9.38
Experiment,8,25.00%,1.38
explore,8,37.50%,1
expression,8,0.00%,1.88
Eye,8,25.00%,0.88
Eyes can see,8,0.00%,2.25
Eyes to see,8,12.50%,2.25
Fable,8,12.50%,4.75
fairies in the night,8,0.00%,4
Fart,8,12.50%,5.5
Fat King,8,25.00%,4.62
fat king and the thin dog,8,37.50%,0.38
Father's day story,8,12.50%,1.75
favourite,8,0.00%,2.38
Fawn english,8,0.00%,1.5
finger family,8,12.50%,2
Fireman,8,0.00%,3.62
firetruck,8,0.00%,0.38
First House,8,12.50%,1.62
Fish eyes,8,12.50%,1.38
flies,8,12.50%,2
Float,8,12.50%,1.75
Floaters,8,0.00%,0.88
Floppy the bear,8,12.50%,2.25
Folk,8,25.00%,1.88
Fools go to school,8,37.50%,1.12
Forgiveness,8,25.00%,3.5
forme,8,0.00%,1.62
Four friends,8,0.00%,0.62
Francês,8,75.00%,0.75
Free as a bird,8,50.00%,1.62
free download,8,37.50%,3.25
French book,8,62.50%,1.12
French level 4,8,50.00%,1.25
friendly fashion,8,0.00%,0.88
friendship day,8,12.50%,2
Friendship story,8,37.50%,4.25
fruits of india,8,0.00%,1.5
fuel,8,12.50%,0.5
Gadbad das,8,12.50%,1
Gadbad Das in No Water for You!,8,0.00%,0.75
ganapati,8,25.00%,0.88
ganesha story,8,25.00%,1.88
Ganpati,8,0.00%,2.62
Gappu Gola,8,0.00%,10.88
Gappu naach nahi sakti,8,12.50%,4.38
gapu,8,12.50%,1.38
Garden of Medicines,8,0.00%,1
gay,8,12.50%,0.75
Genie,8,0.00%,4.12
germanD,8,75.00%,0.75
germination,8,0.00%,2
get down,8,12.50%,5.88
GHOST STORIES,8,12.50%,8
Ghost stories for kids,8,12.50%,1.75
gif books,8,12.50%,2.25
ginger bread man,8,12.50%,1
Girisha from the hills,8,25.00%,1.88
girl who couldn't,8,0.00%,2.12
globe,8,12.50%,0.88
go,8,25.00%,3.75
Gobys noisy best friend,8,37.50%,1.62
Going to buy a book,8,0.00%,2.25
Going to the market,8,12.50%,4.62
Gol gol golu,8,25.00%,2.88
Gola,8,0.00%,1.88
goldfish,8,12.50%,1
Goldilocks and the three bears,8,12.50%,3
good habit,8,12.50%,2.75
good hygiene,8,12.50%,2.62
gopi diaries,8,12.50%,5.88
gordon the goats,8,25.00%,0.38
Gost story,8,0.00%,4.12
grade 1 stories,8,0.00%,4
Grandma glass,8,25.00%,3.38
Grandpa fish,8,0.00%,1.75
Grass,8,37.50%,4.25
Grateful hawk,8,37.50%,3
Greedy cat,8,12.50%,1.38
green diwali,8,0.00%,1
growing plants,8,37.50%,1.38
guitar,8,12.50%,2.38
gujarati story,8,25.00%,2.62
Gullicha khajina,8,37.50%,3.12
gully,8,0.00%,1.5
Gundu fish,8,25.00%,3.62
gurru,8,25.00%,1.88
Gurru and peechu,8,25.00%,2.25
haatchu,8,12.50%,1.25
halloween stories,8,12.50%,0.62
haloween,8,0.00%,1.5
handmade in India,8,12.50%,3.5
Handwash,8,25.00%,1.88
Happy diwali,8,12.50%,1.12
hard work,8,12.50%,2
Hard work,8,25.00%,3.75
Harry,8,37.50%,0.62
Harry potters,8,50.00%,0.5
haryanvi,8,25.00%,3.38
Haryanvi,8,12.50%,11.12
Hasim,8,37.50%,2.12
Hasna mana hai,8,37.50%,1.38
haunted,8,12.50%,2
Hauz Khas: A School by the Lake,8,0.00%,1.12
have you heard a whale sing,8,0.00%,4
Health and fitness,8,25.00%,4.75
health and hygeine,8,12.50%,4.12
Healthy diet,8,25.00%,3.12
healthy eating habits,8,25.00%,5.5
healthy food habits,8,25.00%,5.5
Healthy habits,8,0.00%,5.12
healthy life,8,0.00%,4.5
Heart,8,37.50%,1.12
heat,8,12.50%,12.5
Helen keller,8,0.00%,0.88
Hen and fox,8,12.50%,3
here comes the camel,8,12.50%,3.38
Here comes the camel and other poems,8,25.00%,2.38
Hero,8,12.50%,1.5
hindi book,8,0.00%,8.75
Hindi english,8,0.00%,4.5
HINDI LEVEL 1,8,0.00%,2.38
Hindi level 1 stories,8,37.50%,1.25
Hindi moral stories,8,37.50%,2.38
Hindi moral story,8,12.50%,2.38
Hindi poems,8,37.50%,8.12
Hindi rhymes,8,50.00%,1.75
Hindi stories for grade 3,8,12.50%,2.62
Hindi stories level 3,8,12.50%,1.75
Hitting,8,37.50%,2.62
hiver,8,25.00%,2.88
honest avnee,8,37.50%,1.38
Honest girl,8,0.00%,1.25
horrid henry,8,0.00%,10.88
horror storys,8,12.50%,4
Hot tea,8,0.00%,3.25
How bittu bottu got better,8,0.00%,2.25
how do plants grow,8,0.00%,1.38
how does the toothpaste,8,0.00%,1.12
How I Like My Rain,8,0.00%,11.38
how many legs,8,0.00%,0.75
how the owl got friends,8,12.50%,3
how to download,8,12.50%,10.25
How to solve a problem like himani,8,12.50%,1.38
huli banthu huli,8,25.00%,4.75
human migration,8,50.00%,0.62
hundred,8,0.00%,0.88
hunger,8,25.00%,1.62
Hungry Caterpillar,8,25.00%,3.38
i am hungry,8,12.50%,2
I am the colour of honey,8,12.50%,8.62
I can save them too,8,25.00%,0.88
I Like to Read,8,0.00%,12.12
I love winter,8,0.00%,1.5
I need a violin,8,12.50%,0.88
I SPY,8,12.50%,1.12
I spy by the lake,8,12.50%,1.75
I spy shapes in art,8,25.00%,1.38
I Spy!,8,12.50%,1.12
I want more,8,37.50%,1.38
I want this,8,0.00%,4.62
ice,8,25.00%,3.62
identity,8,0.00%,1.75
If roads could speak,8,12.50%,1.25
inclusion,8,25.00%,2.38
indian festivals,8,25.00%,11.75
indian folktales,8,37.50%,3.12
infusion de la jungle,8,25.00%,0.88
Inku chomps,8,12.50%,1.75
Inside,8,0.00%,2.75
Inside weather,8,12.50%,1.5
Inspiration,8,12.50%,3.12
Inspirational,8,0.00%,3.5
Inspiring,8,12.50%,9.38
Interesting,8,12.50%,2.62
Invention,8,37.50%,3.62
Iron Man,8,12.50%,4
It,8,0.00%,2.38
It's all cat's fault,8,12.50%,5
It's just a game,8,25.00%,1
It’s all the cats fault,8,0.00%,1.25
Jack,8,0.00%,0.88
jadav and tree,8,0.00%,1
jala,8,0.00%,24.62
jealousy,8,0.00%,3
jemma jose,8,0.00%,2.12
jerry,8,0.00%,2.5
jesus,8,12.50%,0.25
Jimmy and his new friends,8,12.50%,2.12
Job,8,12.50%,3.5
Joker,8,0.00%,1.75
joongedai,8,0.00%,1.62
jui mausi ki beti,8,12.50%,0.88
Juice,8,12.50%,1
Julia Donaldson,8,12.50%,1
kabadi,8,0.00%,2
Kabuliwala,8,25.00%,2
Kahani,8,50.00%,1.88
Kahani kelon ki,8,0.00%,2.12
kaka and muni,8,25.00%,0.88
Kaka and muni,8,25.00%,2.12
kakodkar,8,12.50%,5.62
kakuch bal,8,0.00%,2.25
Kakuch bal,8,50.00%,1.75
kali loves to dance,8,12.50%,1.75
kali wants,8,12.50%,1.62
KALI WANTS TO DANCE,8,25.00%,1.88
kallu world,8,25.00%,6.62
Kamakshi,8,62.50%,0.62
kanchha the rhino,8,25.00%,0.88
karuppatti chocolate,8,0.00%,11.88
kaushik the kind detective,8,12.50%,7.62
Kerala,8,0.00%,2.88
Keya's day at the beach,8,12.50%,1.5
Khel khel,8,12.50%,1.25
khel khel me,8,12.50%,2.88
Khel Khel mein,8,12.50%,3.25
